series_id,segment,rfm_score
RREACBM027SBOG,Champions,11.0
H8B1152NCBCMG,Champions,11.0
H8B1221NCBCMG,Champions,11.0
RREACBW027NBOG,Champions,12.0
CIBOARDNSA,Champions,12.0
TLBACBM027NBOG,Champions,11.0
TLBACBQ158SBOG,Champions,10.0
H8B1023NLGCMG,Champions,11.0
CILLCBM027SBOG,Champions,11.0
CILLCBM027NBOG,Champions,11.0
RREACBQ158SBOG,Loyal,8.0
H8B1023NLGCQG,Loyal,8.0
H8B1221NCBCAG,Loyal,7.0
H8B1023NLGCAG,Lost,3.0
DRTSSP,Champions,12.0
CORCACBS,Champions,12.0
DROCLACBS,Champions,12.0
WLRRAFOIAL,Champions,14.0
ODSACBW027SBOG,Champions,14.0
CLDACBW027SBOG,Champions,14.0
DPSSCBW027SBOG,Champions,14.0
BOGZ1FL403069330Q,Champions,12.0
TERMCBCCINTNS,Champions,13.0
DPSSCBW027NBOG,Champions,14.0
SBCACBW027SBOG,Champions,14.0
FLBPPRIVSA,Champions,13.0
ODSACBW027NBOG,Champions,12.0
DROCLACBN,Champions,10.0
CLDACBM027NBOG,Champions,11.0
DPSSCBM027SBOG,Champions,11.0
CLDACBM027SBOG,Champions,11.0
CORCACBN,Champions,10.0
B1215NCBCMG,Champions,11.0
CORCCT100S,Champions,12.0
ODSACBM027SBOG,Champions,11.0
DPSSCBM027NBOG,Champions,11.0
ODSACBM027NBOG,Champions,11.0
H8B1110NCBCMG,Champions,11.0
H8B1058NSMCMG,Champions,11.0
H8B1110NCBCAG,Loyal,7.0
B1215NCBCQG,Loyal,8.0
CLDACBW027NBOG,Loyal,10.0
B1215NCBCAG,Loyal,7.0
ODSACBQ158SBOG,Lost,4.0
H8B1058NSMCQG,Lost,4.0
H8B1058NSMCAG,Lost,3.0
INVEST,Champions,13.0
DRIWCIL,Champions,12.0
INVESTNSA,Champions,11.0
H8B1002NCBCMG,Champions,11.0
SBCACBW027NBOG,Champions,12.0
TXBPPRIVSA,Champions,13.0
H8B1002NCBCAG,Champions,9.0
BOGZ1FL403069330A,Lost,3.0
SBCACBQ158SBOG,Lost,4.0
M1476BUSM027NNBR,Champions,13.0
CORCCT100N,Champions,12.0
RALACBM027SBOG,Champions,13.0
M1329AUSM193NNBR,Champions,13.0
RALACBW027SBOG,Champions,14.0
RALACBW027NBOG,Champions,12.0
RALACBM027NBOG,Champions,11.0
MVGFD027MNFRBDAL,Champions,13.0
H8B1091NCBCMG,Lost,5.0
H8B1091NCBCQG,Lost,4.0
H8B1091NCBCAG,Lost,3.0
DRFAPGACBN,Champions,12.0
LTDACBM027NBOG,Champions,13.0
LTDACBW027SBOG,Champions,14.0
LTDACBM027SBOG,Champions,13.0
LTDACBW027NBOG,Champions,12.0
H8B3094NCBA,Champions,14.0
H8B1072NCBCMG,Champions,11.0
H8B1072NCBCAG,Champions,9.0
DALLCCACBEP,Champions,12.0
DRFAPGACBS,Champions,12.0
CORBLACBS,Champions,12.0
DPSLCBW027SBOG,Champions,14.0
LTDACBQ158SBOG,Lost,4.0
DPSLCBW027NBOG,Champions,14.0
H8B3094NCBD,Champions,14.0
DPSLCBM027SBOG,Champions,11.0
H8B3094NCBAM,Champions,11.0
H8B3094NCBDM,Champions,11.0
DPSLCBM027NBOG,Champions,11.0
H8B3094NCBCMG,Loyal,9.0
H8B3094NCBCQG,Loyal,8.0
H8B3094NCBCAG,Loyal,7.0
H8B1058NLGCMG,Loyal,9.0
FFWSJHIGH,Champions,15.0
H8B1058NLGCQG,Lost,4.0
H8B1058NLGCAG,Lost,3.0
CASLCBW027SBOG,Champions,14.0
TOTBORR,Champions,14.0
CORBLACBN,Champions,10.0
TNMACBW027SBOG,Champions,14.0
CILSCBW027SBOG,Champions,14.0
CILSCBM027SBOG,Champions,13.0
TNMACBM027NBOG,Champions,11.0
TNMACBW027NBOG,Champions,12.0
CASLCBW027NBOG,Champions,12.0
TNMACBM027SBOG,Champions,11.0
CILSCBW027NBOG,Champions,12.0
CASLCBM027SBOG,Loyal,9.0
H8B1048NLGCQG,Loyal,8.0
H8B1023NSMCAG,Loyal,7.0
H8B1302NCBCMG,Loyal,9.0
CASLCBM027NBOG,Lost,5.0
H8B1048NLGCMG,Lost,5.0
CILSCBM027NBOG,Lost,5.0
H8B1023NSMCMG,Lost,5.0
H8B1023NSMCQG,Lost,4.0
H8B1048NLGCAG,Lost,3.0
H8B1302NCBCQG,Lost,4.0
H8B1302NCBCAG,Lost,3.0
DRCLOBS,Champions,12.0
DRLFRACBS,Champions,12.0
TCDSL,Champions,13.0
TCDNS,Champions,13.0
DRCRELEXFT100S,Champions,12.0
TCD,Champions,12.0
AUST448BPPRIV,Champions,13.0
DED1,Champions,15.0
WTCDNS,Loyal,10.0
DRLFRACBN,Champions,10.0
DRCLOBN,Champions,10.0
TREAS1T5,Champions,14.0
AUST448BPPRIVSA,Champions,13.0
FLBP1FHSA,Champions,13.0
DALL148BPPRIVSA,Champions,13.0
MED1,Champions,13.0
WED1,Champions,12.0
DRCRELEXFT100N,Champions,10.0
BOGZ1FA713068703Q,Champions,12.0
DRBLOBS,Champions,12.0
DRFLACBS,Champions,12.0
DALL148BPPRIV,Champions,11.0
CORCREXFACBS,Champions,12.0
DRFLACBN,Champions,12.0
DRBLOBN,Champions,10.0
BOGZ1FU713068703Q,Loyal,8.0
BOGZ1FA713068703A,Lost,3.0
BOGZ1FU713068703A,Lost,3.0
CORCREXFACBN,Champions,10.0
CORALACBS,Champions,12.0
CORALACBN,Champions,12.0
SAVINGS,Champions,14.0
SAVINGSL,Champions,13.0
H41RESPPALDKXAWNWW,Champions,14.0
DRCRELEXFOBS,Champions,12.0
SAVINGNS,Champions,11.0
WSAVNS,Loyal,10.0
DRCRELEXFOBN,Champions,10.0
CORSFRMACBS,Champions,12.0
CORSFRMACBN,Champions,10.0
DALLSRESFRMACBEP,Champions,12.0
DRSRET100S,Champions,12.0
BOGZ1FL713068703A,Lost,3.0
EEANQ,Champions,12.0
DRSRET100N,Champions,10.0
CORCCOBS,Champions,12.0
X02NOB,Champions,13.0
X08ABUS,Champions,9.0
CORCCOBN,Champions,10.0
OCDSL,Champions,13.0
WOCDSL,Champions,12.0
OCDNS,Champions,11.0
WOCDNS,Lost,6.0
M14047USM156NNBR,Champions,13.0
COROCLACBS,Champions,12.0
DED6,Champions,13.0
WED6,Champions,12.0
MED6,Champions,11.0
COROCLACBN,Loyal,8.0
DRSREOBS,Champions,12.0
BLNECLBSNNCB,Champions,12.0
DRSREOBN,Loyal,8.0
DED3,Champions,13.0
CORLAGACBS,Champions,10.0
CORLAGACBN,Champions,10.0
WED3,Champions,12.0
MED3,Champions,11.0
NCOALLCIACB,Champions,12.0
QBPBSTASTLNLESSRES,Champions,12.0
CORSREACBS,Champions,12.0
CORSREACBN,Loyal,8.0
DALLSREACBEP,Champions,12.0
DALLCCOBEP,Champions,12.0
DALLCCT100EP,Champions,12.0
EDANQ,Champions,12.0
EVBXDBNQ,Champions,12.0
M10044USM144NNBR,Champions,13.0
ALFAPGT100,Champions,10.0
BOGZ1FL282150005Q,Champions,10.0
DALLSRESFRMOBEP,Champions,10.0
MEXINTDUSD,Champions,13.0
Banco,Regular,
Banco,Regular,
Banco,Regular,
DRFLOBS,Champions,10.0
DRFAPGOBS,Champions,10.0
DRFAPGOBN,Loyal,8.0
M1445BUSM027SNBR,Loyal,9.0
DRFLOBN,Lost,4.0
BOGZ1FL282150005A,Lost,3.0
NCOALLACB,Champions,10.0
DRFAPGT100S,Champions,10.0
DALLSRECRELEXFACBEP,Champions,10.0
DALLSRESFRMT100EP,Champions,10.0
DRFAPGT100N,Lost,4.0
CORCREXFT100S,Champions,10.0
CORSFRMT100S,Champions,10.0
CORCREXFOBS,Champions,10.0
BOGZ1FL743139105A,Champions,9.0
BOGZ1FL743139105Q,Champions,10.0
CORCREXFT100N,Lost,4.0
CORCREXFOBN,Lost,4.0
CORSFRMT100N,Lost,4.0
CORCOBS,Champions,10.0
NCOALLCCACB,Champions,10.0
EEBXSSNQ,Champions,10.0
X02LIL,Champions,11.0
M13015DEM156NNBR,Champions,11.0
CORBLT100S,Champions,10.0
BOGZ1FL673169105A,Champions,9.0
CORFLACBS,Champions,10.0
FGCBGSQ027S,Champions,10.0
CORALT100N,Champions,10.0
X08CBTUS,Champions,9.0
CORALT100S,Loyal,8.0
BOGZ1FL673169105Q,Loyal,8.0
CORBLT100N,Loyal,8.0
X03NOB,Loyal,9.0
BOGZ1FL754016205A,Lost,3.0
CORCOBN,Lost,4.0
CORFLACBN,Lost,4.0
FGCBGSA027N,Lost,3.0
DRFLT100S,Champions,10.0
CORBLOBS,Champions,10.0
DALLFAPGACBEP,Champions,10.0
DALLSREFACBEP,Champions,10.0
TAIEALLGSRECRELEXFT100EP,Champions,10.0
DALLSREFOBEP,Champions,10.0
DALLSRECRELEXFT100EP,Champions,10.0
MDOTHFRAFHLB,Champions,10.0
M11024FRM324NNBR,Champions,11.0
BOGZ1FR713068703A,Lost,3.0
DRFLT100N,Lost,4.0
CORBLOBN,Lost,4.0
ATAIEALLGSRECRELEXFT100,Lost,4.0
LSREACBEP,Champions,10.0
DALLSREOBEP,Champions,10.0
DALLSREFT100EP,Champions,10.0
DALLSRECRELEXFOBEP,Champions,10.0
LDFBFOA,Champions,12.0
MDOTHMFICBTP1T4FR,Champions,10.0
M13004US35620M156NNBR,Champions,11.0
WSMTIME,Champions,12.0
ATAIEALLGCLCRACB,Champions,10.0
CBFBOUSTCMAHDFS,Champions,10.0
BOGZ1FU764090760A,Champions,9.0
X02DT,Champions,11.0
BLNECLBSHNO,Champions,10.0
TAIEALLGSRESFRMACBEP,Champions,10.0
BOGZ1FL473169333A,Loyal,7.0
BOGZ1FL754004005A,Loyal,7.0
BOGZ1FL713068705A,Loyal,7.0
SVGTNS,Loyal,9.0
BOGZ1FU473169333A,Lost,3.0
TAIEALLGCLCRACBEP,Lost,4.0
BOGZ1FA764090760A,Lost,3.0
BOGZ1FA764090760Q,Lost,4.0
BOGZ1FU764090760Q,Lost,4.0
X08TDABUS,Lost,3.0
SVGTI,Lost,5.0
WSAVTSL,Lost,6.0
WSAVTNS,Lost,6.0
ATAIEALLGSRESFRMACB,Lost,4.0
CORALOBS,Champions,10.0
CBBHCTCMAHDFS,Champions,10.0
ES1T99XSLNQ,Champions,10.0
EITNQ,Champions,10.0
CORCT100S,Champions,10.0
DALLSRET100EP,Champions,10.0
ESTSFNQ,Champions,10.0
EERPRNQ,Champions,10.0
EABNQ,Champions,10.0
DALLFAPGOBEP,Champions,10.0
DALLFAPGT100EP,Champions,10.0
TAIEALLGSRECRELEXFACBEP,Champions,10.0
TAIEALLGSRECRELEXFOBEP,Champions,10.0
ROWNIBQ027S,Champions,10.0
X04NOB,Champions,11.0
BOGZ1FL763066143Q,Champions,10.0
BOGZ1FL763065100Q,Champions,10.0
X02LIT,Champions,11.0
FGCBCBQ027S,Champions,10.0
CORSFRMOBS,Champions,10.0
COROCLT100N,Loyal,8.0
CORSREOBN,Loyal,8.0
TAIEALLGSREFACBEP,Loyal,8.0
BOGZ1FA413065533Q,Loyal,8.0
BOGZ1FU413065533Q,Loyal,8.0
BOGZ1LM754022005Q,Loyal,8.0
BOGZ1FU313065673A,Loyal,7.0
BOGZ1FA343061123Q,Loyal,8.0
BOGZ1FA753192003Q,Loyal,8.0
BOGZ1FA734090003A,Loyal,7.0
BOGZ1FL763066443Q,Loyal,8.0
BOGZ1FU413065433A,Loyal,7.0
STDTI,Loyal,9.0
CORALOBN,Lost,4.0
CORCT100N,Lost,4.0
COROCLT100S,Lost,4.0
CORSREOBS,Lost,4.0
BOGZ1FU283191893Q,Lost,4.0
BOGZ1FA283191893Q,Lost,4.0
ATAIEALLGSRECRELEXFACB,Lost,4.0
ATAIEALLGSREFACB,Lost,4.0
ATAIEALLGSRECRELEXFOB,Lost,4.0
BOGZ1FU283191893A,Lost,3.0
BOGZ1FA283191893A,Lost,3.0
BOGZ1FA313065673Q,Lost,4.0
BOGZ1FU313065673Q,Lost,4.0
BOGZ1FU413065533A,Lost,3.0
